form;tense_in_paradigm;person;number;preverb;pre2;root;sf2;caus_sf;ending;tsch_class;morph_type;sub_id;id;vn
გაგეამხანაგებინა;pluperfect;2;sg;გა;გე;ამხანაგ;ებ;-;ინა;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგა;pluperfect;2;sg;გა;გე;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებია;pluperfect;3;sg;გა;ე;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებინა;pluperfect;3;sg;გა;ე;ამხანაგ;ებ;-;ინა;T1;active;39-8;39;*ამხანაგება
გაეამხანაგა;pluperfect;3;sg;გა;ე;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგებია;pluperfect;1;pl;გა;გვე;ამხანაგ;ებ;-;ია;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგებინა;pluperfect;1;pl;გა;გვე;ამხანაგ;ებ;-;ინა;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგა;pluperfect;1;pl;გა;გვე;ამხანაგ;-;-;ა;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებიათ;pluperfect;2;pl;გა;გე;ამხანაგ;ებ;-;იათ;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებინათ;pluperfect;2;pl;გა;გე;ამხანაგ;ებ;-;ინათ;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგათ;pluperfect;2;pl;გა;გე;ამხანაგ;-;-;ათ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებიათ;pluperfect;3;pl;გა;ე;ამხანაგ;ებ;-;იათ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებინათ;pluperfect;3;pl;გა;ე;ამხანაგ;ებ;-;ინათ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგათ;pluperfect;3;pl;გა;ე;ამხანაგ;-;-;ათ;T1;active;39-8;39;*ამხანაგება
ვაამხანაგებდე;conj-present;1;sg;-;ვა;ამხანაგ;ებ;-;დე;T1;active;39-8;39;*ამხანაგება
აამხანაგებდე;conj-present;2;sg;-;ა;ამხანაგ;ებ;-;დე;T1;active;39-8;39;*ამხანაგება
აამხანაგებდეს;conj-present;3;sg;-;ა;ამხანაგ;ებ;-;დეს;T1;active;39-8;39;*ამხანაგება
ვაამხანაგებდეთ;conj-present;1;pl;-;ვა;ამხანაგ;ებ;-;დეთ;T1;active;39-8;39;*ამხანაგება
აამხანაგებდეთ;conj-present;2;pl;-;ა;ამხანაგ;ებ;-;დეთ;T1;active;39-8;39;*ამხანაგება
აამხანაგებდენ;conj-present;3;pl;-;ა;ამხანაგ;ებ;-;დენ;T1;active;39-8;39;*ამხანაგება
აამხანაგებდნენ;conj-present;3;pl;-;ა;ამხანაგ;ებ;-;დნენ;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებდე;conj-future;1;sg;გა;ვა;ამხანაგ;ებ;-;დე;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდე;conj-future;2;sg;გა;ა;ამხანაგ;ებ;-;დე;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდეს;conj-future;3;sg;გა;ა;ამხანაგ;ებ;-;დეს;T1;active;39-8;39;*ამხანაგება
გავაამხანაგებდეთ;conj-future;1;pl;გა;ვა;ამხანაგ;ებ;-;დეთ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდეთ;conj-future;2;pl;გა;ა;ამხანაგ;ებ;-;დეთ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდენ;conj-future;3;pl;გა;ა;ამხანაგ;ებ;-;დენ;T1;active;39-8;39;*ამხანაგება
გააამხანაგებდნენ;conj-future;3;pl;გა;ა;ამხანაგ;ებ;-;დნენ;T1;active;39-8;39;*ამხანაგება
გამეამხანაგებიოს;conj-perfect;1;sg;გა;მე;ამხანაგ;ებ;-;იოს;T1;active;39-8;39;*ამხანაგება
გამეამხანაგებინოს;conj-perfect;1;sg;გა;მე;ამხანაგ;ებ;-;ინოს;T1;active;39-8;39;*ამხანაგება
გამეამხანაგოს;conj-perfect;1;sg;გა;მე;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებიოს;conj-perfect;2;sg;გა;გე;ამხანაგ;ებ;-;იოს;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებინოს;conj-perfect;2;sg;გა;გე;ამხანაგ;ებ;-;ინოს;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგოს;conj-perfect;2;sg;გა;გე;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებიოს;conj-perfect;3;sg;გა;ე;ამხანაგ;ებ;-;იოს;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებინოს;conj-perfect;3;sg;გა;ე;ამხანაგ;ებ;-;ინოს;T1;active;39-8;39;*ამხანაგება
გაეამხანაგოს;conj-perfect;3;sg;გა;ე;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგებიოს;conj-perfect;1;pl;გა;გვე;ამხანაგ;ებ;-;იოს;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგებინოს;conj-perfect;1;pl;გა;გვე;ამხანაგ;ებ;-;ინოს;T1;active;39-8;39;*ამხანაგება
გაგვეამხანაგოს;conj-perfect;1;pl;გა;გვე;ამხანაგ;-;-;ოს;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებიოთ;conj-perfect;2;pl;გა;გე;ამხანაგ;ებ;-;იოთ;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგებინოთ;conj-perfect;2;pl;გა;გე;ამხანაგ;ებ;-;ინოთ;T1;active;39-8;39;*ამხანაგება
გაგეამხანაგოთ;conj-perfect;2;pl;გა;გე;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებიოთ;conj-perfect;3;pl;გა;ე;ამხანაგ;ებ;-;იოთ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგებინოთ;conj-perfect;3;pl;გა;ე;ამხანაგ;ებ;-;ინოთ;T1;active;39-8;39;*ამხანაგება
გაეამხანაგოთ;conj-perfect;3;pl;გა;ე;ამხანაგ;-;-;ოთ;T1;active;39-8;39;*ამხანაგება
ვაახლოებ;present;1;sg;-;ვა;ახლო;ებ;-;-;T1;active;71-2;71;*ახლოვება
აახლოებ;present;2;sg;-;ა;ახლო;ებ;-;-;T1;active;71-2;71;*ახლოვება
აახლოებს;present;3;sg;-;ა;ახლო;ებ;-;ს;T1;active;71-2;71;*ახლოვება
ვაახლოებთ;present;1;pl;-;ვა;ახლო;ებ;-;თ;T1;active;71-2;71;*ახლოვება
აახლოებთ;present;2;pl;-;ა;ახლო;ებ;-;თ;T1;active;71-2;71;*ახლოვება
აახლოებენ;present;3;pl;-;ა;ახლო;ებ;-;ენ;T1;active;71-2;71;*ახლოვება
მივაახლოებ;future;1;sg;მი;ვა;ახლო;ებ;-;-;T1;active;71-2;71;*ახლოვება
მიაახლოებ;future;2;sg;მი;ა;ახლო;ებ;-;-;T1;active;71-2;71;*ახლოვება
მიაახლოებს;future;3;sg;მი;ა;ახლო;ებ;-;ს;T1;active;71-2;71;*ახლოვება
მივაახლოებთ;future;1;pl;მი;ვა;ახლო;ებ;-;თ;T1;active;71-2;71;*ახლოვება
მიაახლოებთ;future;2;pl;მი;ა;ახლო;ებ;-;თ;T1;active;71-2;71;*ახლოვება
მიაახლოებენ;future;3;pl;მი;ა;ახლო;ებ;-;ენ;T1;active;71-2;71;*ახლოვება
ვაახლოე;aorist;1;sg;-;ვა;ახლო;-;-;ე;T1;active;71-2;71;*ახლოვება
მივაახლოე;aorist;1;sg;მი;ვა;ახლო;-;-;ე;T1;active;71-2;71;*ახლოვება
აახლოე;aorist;2;sg;-;ა;ახლო;-;-;ე;T1;active;71-2;71;*ახლოვება
მიაახლოე;aorist;2;sg;მი;ა;ახლო;-;-;ე;T1;active;71-2;71;*ახლოვება
აახლოვა;aorist;3;sg;-;ა;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
აახლოვა;aorist;3;sg;-;ა;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
მიაახლოვა;aorist;3;sg;მი;ა;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
მიაახლოვა;aorist;3;sg;მი;ა;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
ვაახლოეთ;aorist;1;pl;-;ვა;ახლო;-;-;ეთ;T1;active;71-2;71;*ახლოვება
მივაახლოეთ;aorist;1;pl;მი;ვა;ახლო;-;-;ეთ;T1;active;71-2;71;*ახლოვება
აახლოეთ;aorist;2;pl;-;ა;ახლო;-;-;ეთ;T1;active;71-2;71;*ახლოვება
მიაახლოეთ;aorist;2;pl;მი;ა;ახლო;-;-;ეთ;T1;active;71-2;71;*ახლოვება
აახლოვეს;aorist;3;pl;-;ა;ახლო;-;-;ვეს;T1;active;71-2;71;*ახლოვება
აახლოვეს;aorist;3;pl;-;ა;ახლოვ;-;-;ეს;T1;active;71-2;71;*ახლოვება
მიაახლოვეს;aorist;3;pl;მი;ა;ახლო;-;-;ვეს;T1;active;71-2;71;*ახლოვება
მიაახლოვეს;aorist;3;pl;მი;ა;ახლოვ;-;-;ეს;T1;active;71-2;71;*ახლოვება
მიმიახლოებია;perfect;1;sg;მი;მი;ახლო;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიგიახლოებია;perfect;2;sg;მი;გი;ახლო;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიუახლოებია;perfect;3;sg;მი;უ;ახლო;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიგვიახლოებია;perfect;1;pl;მი;გვი;ახლო;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიგიახლოებიათ;perfect;2;pl;მი;გი;ახლო;ებ;-;იათ;T1;active;71-2;71;*ახლოვება
მიუახლოებიათ;perfect;3;pl;მი;უ;ახლო;ებ;-;იათ;T1;active;71-2;71;*ახლოვება
ვაახლოებდი;imperfect;1;sg;-;ვა;ახლო;ებ;-;დი;T1;active;71-2;71;*ახლოვება
აახლოებდი;imperfect;2;sg;-;ა;ახლო;ებ;-;დი;T1;active;71-2;71;*ახლოვება
აახლოებდა;imperfect;3;sg;-;ა;ახლო;ებ;-;და;T1;active;71-2;71;*ახლოვება
ვაახლოებდით;imperfect;1;pl;-;ვა;ახლო;ებ;-;დით;T1;active;71-2;71;*ახლოვება
აახლოებდით;imperfect;2;pl;-;ა;ახლო;ებ;-;დით;T1;active;71-2;71;*ახლოვება
აახლოებდენ;imperfect;3;pl;-;ა;ახლო;ებ;-;დენ;T1;active;71-2;71;*ახლოვება
აახლოებდნენ;imperfect;3;pl;-;ა;ახლო;ებ;-;დნენ;T1;active;71-2;71;*ახლოვება
მივაახლოებდი;conditional;1;sg;მი;ვა;ახლო;ებ;-;დი;T1;active;71-2;71;*ახლოვება
მიაახლოებდი;conditional;2;sg;მი;ა;ახლო;ებ;-;დი;T1;active;71-2;71;*ახლოვება
მიაახლოებდა;conditional;3;sg;მი;ა;ახლო;ებ;-;და;T1;active;71-2;71;*ახლოვება
მივაახლოებდით;conditional;1;pl;მი;ვა;ახლო;ებ;-;დით;T1;active;71-2;71;*ახლოვება
მიაახლოებდით;conditional;2;pl;მი;ა;ახლო;ებ;-;დით;T1;active;71-2;71;*ახლოვება
მიაახლოებდენ;conditional;3;pl;მი;ა;ახლო;ებ;-;დენ;T1;active;71-2;71;*ახლოვება
მიაახლოებდნენ;conditional;3;pl;მი;ა;ახლო;ებ;-;დნენ;T1;active;71-2;71;*ახლოვება
ვაახლოვო;optative;1;sg;-;ვა;ახლოვ;-;-;ო;T1;active;71-2;71;*ახლოვება
მივაახლოვო;optative;1;sg;მი;ვა;ახლოვ;-;-;ო;T1;active;71-2;71;*ახლოვება
აახლოვო;optative;2;sg;-;ა;ახლოვ;-;-;ო;T1;active;71-2;71;*ახლოვება
მიაახლოვო;optative;2;sg;მი;ა;ახლოვ;-;-;ო;T1;active;71-2;71;*ახლოვება
აახლოვოს;optative;3;sg;-;ა;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
მიაახლოვოს;optative;3;sg;მი;ა;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
ვაახლოვოთ;optative;1;pl;-;ვა;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
მივაახლოვოთ;optative;1;pl;მი;ვა;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
აახლოვოთ;optative;2;pl;-;ა;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
მიაახლოვოთ;optative;2;pl;მი;ა;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
აახლოვონ;optative;3;pl;-;ა;ახლოვ;-;-;ონ;T1;active;71-2;71;*ახლოვება
მიაახლოვონ;optative;3;pl;მი;ა;ახლოვ;-;-;ონ;T1;active;71-2;71;*ახლოვება
მიმეახლოვებია;pluperfect;1;sg;მი;მე;ახლო;-;-;ვებია;T1;active;71-2;71;*ახლოვება
მიმეახლოვებია;pluperfect;1;sg;მი;მე;ახლოვ;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიმეახლოვებინა;pluperfect;1;sg;მი;მე;ახლო;-;-;ვებინა;T1;active;71-2;71;*ახლოვება
მიმეახლოვებინა;pluperfect;1;sg;მი;მე;ახლოვ;ებ;-;ინა;T1;active;71-2;71;*ახლოვება
მიმეახლოვა;pluperfect;1;sg;მი;მე;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
მიმეახლოვა;pluperfect;1;sg;მი;მე;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
მიგეახლოვებია;pluperfect;2;sg;მი;გე;ახლო;-;-;ვებია;T1;active;71-2;71;*ახლოვება
მიგეახლოვებია;pluperfect;2;sg;მი;გე;ახლოვ;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიგეახლოვებინა;pluperfect;2;sg;მი;გე;ახლო;-;-;ვებინა;T1;active;71-2;71;*ახლოვება
მიგეახლოვებინა;pluperfect;2;sg;მი;გე;ახლოვ;ებ;-;ინა;T1;active;71-2;71;*ახლოვება
მიგეახლოვა;pluperfect;2;sg;მი;გე;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
მიგეახლოვა;pluperfect;2;sg;მი;გე;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
მიეახლოვებია;pluperfect;3;sg;მი;ე;ახლო;-;-;ვებია;T1;active;71-2;71;*ახლოვება
მიეახლოვებია;pluperfect;3;sg;მი;ე;ახლოვ;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიეახლოვებინა;pluperfect;3;sg;მი;ე;ახლო;-;-;ვებინა;T1;active;71-2;71;*ახლოვება
მიეახლოვებინა;pluperfect;3;sg;მი;ე;ახლოვ;ებ;-;ინა;T1;active;71-2;71;*ახლოვება
მიეახლოვა;pluperfect;3;sg;მი;ე;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
მიეახლოვა;pluperfect;3;sg;მი;ე;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
მიგვეახლოვებია;pluperfect;1;pl;მი;გვე;ახლო;-;-;ვებია;T1;active;71-2;71;*ახლოვება
მიგვეახლოვებია;pluperfect;1;pl;მი;გვე;ახლოვ;ებ;-;ია;T1;active;71-2;71;*ახლოვება
მიგვეახლოვებინა;pluperfect;1;pl;მი;გვე;ახლო;-;-;ვებინა;T1;active;71-2;71;*ახლოვება
მიგვეახლოვებინა;pluperfect;1;pl;მი;გვე;ახლოვ;ებ;-;ინა;T1;active;71-2;71;*ახლოვება
მიგვეახლოვა;pluperfect;1;pl;მი;გვე;ახლო;-;-;ვა;T1;active;71-2;71;*ახლოვება
მიგვეახლოვა;pluperfect;1;pl;მი;გვე;ახლოვ;-;-;ა;T1;active;71-2;71;*ახლოვება
მიგეახლოვებიათ;pluperfect;2;pl;მი;გე;ახლო;-;-;ვებიათ;T1;active;71-2;71;*ახლოვება
მიგეახლოვებიათ;pluperfect;2;pl;მი;გე;ახლოვ;ებ;-;იათ;T1;active;71-2;71;*ახლოვება
მიგეახლოვებინათ;pluperfect;2;pl;მი;გე;ახლო;-;-;ვებინათ;T1;active;71-2;71;*ახლოვება
მიგეახლოვებინათ;pluperfect;2;pl;მი;გე;ახლოვ;ებ;-;ინათ;T1;active;71-2;71;*ახლოვება
მიგეახლოვათ;pluperfect;2;pl;მი;გე;ახლო;-;-;ვათ;T1;active;71-2;71;*ახლოვება
მიგეახლოვათ;pluperfect;2;pl;მი;გე;ახლოვ;-;-;ათ;T1;active;71-2;71;*ახლოვება
მიეახლოვებიათ;pluperfect;3;pl;მი;ე;ახლო;-;-;ვებიათ;T1;active;71-2;71;*ახლოვება
მიეახლოვებიათ;pluperfect;3;pl;მი;ე;ახლოვ;ებ;-;იათ;T1;active;71-2;71;*ახლოვება
მიეახლოვებინათ;pluperfect;3;pl;მი;ე;ახლო;-;-;ვებინათ;T1;active;71-2;71;*ახლოვება
მიეახლოვებინათ;pluperfect;3;pl;მი;ე;ახლოვ;ებ;-;ინათ;T1;active;71-2;71;*ახლოვება
მიეახლოვათ;pluperfect;3;pl;მი;ე;ახლო;-;-;ვათ;T1;active;71-2;71;*ახლოვება
მიეახლოვათ;pluperfect;3;pl;მი;ე;ახლოვ;-;-;ათ;T1;active;71-2;71;*ახლოვება
ვაახლოებდე;conj-present;1;sg;-;ვა;ახლო;ებ;-;დე;T1;active;71-2;71;*ახლოვება
აახლოებდე;conj-present;2;sg;-;ა;ახლო;ებ;-;დე;T1;active;71-2;71;*ახლოვება
აახლოებდეს;conj-present;3;sg;-;ა;ახლო;ებ;-;დეს;T1;active;71-2;71;*ახლოვება
ვაახლოებდეთ;conj-present;1;pl;-;ვა;ახლო;ებ;-;დეთ;T1;active;71-2;71;*ახლოვება
აახლოებდეთ;conj-present;2;pl;-;ა;ახლო;ებ;-;დეთ;T1;active;71-2;71;*ახლოვება
აახლოებდენ;conj-present;3;pl;-;ა;ახლო;ებ;-;დენ;T1;active;71-2;71;*ახლოვება
აახლოებდნენ;conj-present;3;pl;-;ა;ახლო;ებ;-;დნენ;T1;active;71-2;71;*ახლოვება
მივაახლოებდე;conj-future;1;sg;მი;ვა;ახლო;ებ;-;დე;T1;active;71-2;71;*ახლოვება
მიაახლოებდე;conj-future;2;sg;მი;ა;ახლო;ებ;-;დე;T1;active;71-2;71;*ახლოვება
მიაახლოებდეს;conj-future;3;sg;მი;ა;ახლო;ებ;-;დეს;T1;active;71-2;71;*ახლოვება
მივაახლოებდეთ;conj-future;1;pl;მი;ვა;ახლო;ებ;-;დეთ;T1;active;71-2;71;*ახლოვება
მიაახლოებდეთ;conj-future;2;pl;მი;ა;ახლო;ებ;-;დეთ;T1;active;71-2;71;*ახლოვება
მიაახლოებდენ;conj-future;3;pl;მი;ა;ახლო;ებ;-;დენ;T1;active;71-2;71;*ახლოვება
მიაახლოებდნენ;conj-future;3;pl;მი;ა;ახლო;ებ;-;დნენ;T1;active;71-2;71;*ახლოვება
მიმეახლოვოს;conj-perfect;1;sg;მი;მე;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
მიგეახლოვოს;conj-perfect;2;sg;მი;გე;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
მიეახლოვოს;conj-perfect;3;sg;მი;ე;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
მიგვეახლოვოს;conj-perfect;1;pl;მი;გვე;ახლოვ;-;-;ოს;T1;active;71-2;71;*ახლოვება
მიგეახლოვოთ;conj-perfect;2;pl;მი;გე;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
მიეახლოვოთ;conj-perfect;3;pl;მი;ე;ახლოვ;-;-;ოთ;T1;active;71-2;71;*ახლოვება
ვაახლოებ;present;1;sg;-;ვა;ახლო;ებ;-;-;T1;active;71-3;71;*ახლოვება
აახლოებ;present;2;sg;-;ა;ახლო;ებ;-;-;T1;active;71-3;71;*ახლოვება
აახლოებს;present;3;sg;-;ა;ახლო;ებ;-;ს;T1;active;71-3;71;*ახლოვება
